¼øÀ§,¼±¼ö¸í,ÆÀ¸í,WAR,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ìÅ¸,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR2,WPA,¿¬µµ
22,¼­Á¤È¯,86ÇØ2B,2.39,108,432,375,55,96,12,1,3,119,24,43,23,38,7,2,49,2,11,1,0.256,0.335,0.317,0.652,0.308,95.3,2.39,,1986
23,±èÇü¼®,86ORF,2.32,107,405,364,44,104,8,5,8,146,47,8,8,25,3,2,51,8,6,7,0.286,0.331,0.401,0.732,0.337,117.6,2.32,,1986
24,Á¤Çö¹ß,86»ïCF,2.27,72,157,128,17,42,5,1,4,61,23,2,2,24,2,0,19,4,2,1,0.328,0.439,0.477,0.915,0.426,181.2,2.27,,1986
25,ÀÌÇØÃ¢,86»ïLF,2.22,95,260,238,44,75,14,2,3,102,19,7,6,17,1,0,28,1,2,2,0.315,0.361,0.429,0.789,0.369,140.1,2.22,,1986
26,À±´ö±Ô,86MLF,2.16,107,399,354,34,99,21,3,3,135,45,3,3,29,5,2,27,7,5,6,0.28,0.338,0.381,0.719,0.334,115.4,2.16,,1986
27,ÀÌ½ÂÈñ,86O3B,2.1,82,239,215,19,66,9,4,2,89,28,5,4,15,1,0,30,4,6,2,0.307,0.352,0.414,0.766,0.352,128.7,2.1,,1986
28,°í¿øºÎ,86ºùCF,2.1,84,356,310,27,76,13,3,3,104,33,13,10,40,2,0,29,7,2,2,0.245,0.333,0.335,0.669,0.321,105.0,2.1,,1986
29,À±µ¿±Õ,86OLF,2.08,102,392,345,32,92,14,4,2,120,37,5,5,46,0,5,36,6,0,1,0.267,0.352,0.348,0.7,0.333,114.1,2.08,,1986
30,±èÀÎ½Ä,86M3B,2.04,108,343,309,36,87,13,1,2,108,29,12,5,17,6,1,15,6,9,2,0.282,0.329,0.35,0.679,0.316,101.2,2.04,,1986
1,ÀÌ¸¸¼ö,87»ïC,6.34,85,357,299,56,103,14,1,18,173,76,6,2,47,4,4,23,16,0,7,0.344,0.431,0.579,1.01,0.458,191.5,6.34,,1987
2,±è¼º·¡,87»ï2B,5.71,99,385,334,59,111,11,1,22,190,70,2,5,45,3,3,38,8,0,3,0.332,0.413,0.569,0.982,0.45,185.5,5.71,,1987
3,ÀåÈ¿Á¶,87»ïRF,4.63,88,335,284,51,110,16,4,2,140,58,7,4,41,3,3,26,1,1,6,0.387,0.461,0.493,0.954,0.444,181.3,4.63,,1987
4,±è¿ëÃ¶,87·Ô2B,4.6,103,428,382,49,120,32,2,7,177,59,11,8,42,3,6,33,12,0,1,0.314,0.386,0.463,0.849,0.395,147.4,4.6,,1987
5,±è±¤¸²,87OCF,4.06,102,398,342,59,112,9,7,2,141,17,13,8,42,2,1,24,2,10,1,0.327,0.403,0.412,0.815,0.378,136.6,4.06,,1987
6,±èµ¿±â,87Ã»C,4.0,105,414,350,47,97,21,0,9,145,48,3,5,51,4,2,55,7,8,1,0.277,0.374,0.414,0.789,0.367,127.2,4.0,,1987
7,¹ÚÈï½Ä,87MCF,3.83,101,418,347,48,104,8,9,2,136,36,15,5,46,8,0,28,8,13,4,0.3,0.39,0.392,0.782,0.363,125.4,3.83,,1987
8,°í¿øºÎ,87ºùRF,3.7,104,446,380,51,123,14,1,7,160,51,14,7,53,2,5,21,11,7,4,0.324,0.406,0.421,0.827,0.384,138.5,3.7,,1987
9,ÇÑ¿µÁØ,87·Ô3B,3.65,92,416,356,50,107,15,3,6,146,36,14,5,38,6,0,38,7,14,2,0.301,0.376,0.41,0.786,0.362,124.0,3.65,,1987
10,±èÀç¹Ú,87MSS,3.62,100,448,399,53,113,23,5,1,149,24,33,18,39,5,2,26,7,4,1,0.283,0.354,0.373,0.727,0.344,111.5,3.62,,1987
11,ÀÌÁ¤ÈÆ,87ºùRF,3.6,100,441,370,56,124,13,7,4,163,34,20,13,35,10,2,25,1,24,2,0.335,0.405,0.441,0.846,0.378,134.4,3.6,,1987
12,À¯½Â¾È,87ºùC,3.59,97,360,328,30,101,15,1,12,154,59,1,6,23,1,1,36,17,4,4,0.308,0.351,0.47,0.821,0.377,133.7,3.59,,1987
13,ÀÌ±¤Àº,87MLF,3.59,108,463,410,66,122,21,2,14,189,74,8,7,35,10,7,39,14,2,6,0.298,0.362,0.461,0.823,0.378,136.4,3.59,,1987
14,±è¼ºÇÑ,87ÇØ1B,3.49,81,342,306,43,96,22,0,15,163,46,3,1,30,3,5,29,5,1,2,0.314,0.378,0.533,0.911,0.416,163.0,3.49,,1987
15,Çã±Ô¿Á,87»ïLF,3.44,94,345,319,52,104,17,7,3,144,39,24,5,21,2,1,45,4,1,2,0.326,0.369,0.451,0.821,0.383,138.7,3.44,,1987
16,È«¹®Á¾,87·ÔRF,3.23,108,466,415,59,119,19,4,7,167,49,25,9,40,5,1,26,5,5,1,0.287,0.356,0.402,0.758,0.356,120.1,3.23,,1987
17,Á¤±¸¼±,87·ÔSS,3.22,99,397,331,44,84,14,2,9,129,42,4,2,53,4,3,33,8,8,1,0.254,0.363,0.39,0.752,0.351,116.1,3.22,,1987
18,·ùÁßÀÏ,87»ïSS,3.14,104,401,352,57,101,17,2,2,128,28,8,4,39,3,0,34,8,6,1,0.287,0.362,0.364,0.726,0.345,111.9,3.14,,1987
19,ÀåÅÂ¼ö,87»ïCF,2.98,89,311,266,47,75,15,3,8,120,32,8,7,36,2,0,38,4,4,3,0.282,0.368,0.451,0.819,0.379,135.7,2.98,,1987
20,±èÁ¾¸ð,87ÇØRF,2.97,88,360,332,43,110,13,1,9,152,41,2,4,22,3,3,25,14,2,1,0.331,0.377,0.458,0.835,0.389,143.9,2.97,,1987
21,¿À´ë¼®,87»ï3B,2.93,76,272,242,34,79,13,2,6,114,40,5,3,20,3,0,26,7,2,5,0.326,0.378,0.471,0.849,0.393,145.5,2.93,,1987
22,ÇÑ´ëÈ­,87ÇØ3B,2.83,94,358,301,39,71,16,0,13,126,36,5,2,47,5,0,38,9,4,1,0.236,0.348,0.419,0.766,0.359,122.2,2.83,,1987
23,±èµ¿Àç,87»ï2B,2.62,77,192,176,32,56,9,3,9,98,30,4,0,11,2,0,25,6,2,1,0.318,0.363,0.557,0.92,0.419,163.7,2.62,,1987
24,¼­Á¤È¯,87ÇØ2B,2.5,102,383,335,38,93,12,3,3,120,28,19,11,33,9,2,16,8,6,0,0.278,0.358,0.358,0.716,0.339,108.3,2.5,,1987
25,±èÇü¼®,87ORF,2.5,81,337,301,34,95,16,5,3,130,45,7,5,26,2,2,38,10,2,6,0.316,0.367,0.432,0.799,0.37,130.9,2.5,,1987
26,ÀåÁ¾ÈÆ,87ºùSS,2.45,94,331,281,24,76,15,0,8,115,34,1,6,30,9,0,62,4,11,0,0.27,0.359,0.409,0.769,0.355,118.4,2.45,,1987
27,Á¤Çö¹ß,87Ã»RF,2.35,103,329,284,33,75,16,2,13,134,49,4,8,39,0,0,59,2,3,3,0.264,0.35,0.472,0.822,0.378,134.9,2.35,,1987
28,±èÀ±È¯,87Ã»LF,2.3,89,282,237,30,67,17,3,6,108,42,13,5,34,0,0,37,6,10,1,0.283,0.371,0.456,0.827,0.374,132.2,2.3,,1987
29,¹éÀÎÈ£,87ÇØSS,2.23,95,328,302,31,82,10,4,3,109,25,21,4,16,4,0,19,3,5,1,0.272,0.316,0.361,0.677,0.318,92.6,2.23,,1987
30,±è»óÈÆ,87M1B,2.18,108,436,399,37,111,17,4,10,166,57,4,1,31,3,2,44,9,0,3,0.278,0.333,0.416,0.749,0.351,116.5,2.18,,1987
1,ÀÌ¼øÃ¶,88ÇØCF,6.22,108,477,406,81,127,26,2,13,196,52,58,20,52,12,2,37,7,4,3,0.313,0.404,0.483,0.887,0.404,153.0,6.22,,1988
2,±è¼º·¡,88»ï2B,5.71,96,386,314,54,110,18,2,10,162,54,7,4,58,7,2,43,6,5,2,0.35,0.459,0.516,0.975,0.442,178.6,5.71,,1988
3,ÀÌ¸¸¼ö,88»ïC,5.35,86,334,285,47,92,13,0,18,159,58,6,3,41,7,5,22,8,0,1,0.323,0.419,0.558,0.977,0.439,176.5,5.35,,1988
4,ÇÑ´ëÈ­,88ÇØ3B,5.24,101,415,356,51,114,18,1,18,188,57,6,4,46,5,1,35,8,5,2,0.32,0.403,0.528,0.932,0.418,162.3,5.24,,1988
5,±è¼ºÇÑ,88ÇØ1B,5.14,104,457,404,72,131,12,0,30,233,89,16,5,31,11,3,52,4,4,7,0.324,0.382,0.577,0.959,0.424,166.6,5.14,,1988
6,±èµ¿±â,88ÅÂC,4.56,62,248,212,41,76,18,1,10,126,39,3,0,28,5,4,27,3,1,2,0.358,0.441,0.594,1.036,0.461,191.9,4.56,,1988
7,±è¿ëÃ¶,88·Ô2B,4.49,102,422,380,65,111,21,2,18,190,69,15,4,34,4,3,26,13,1,1,0.292,0.356,0.5,0.856,0.385,139.7,4.49,,1988
8,¼ÛÀç¹Ú,88O3B,4.12,90,308,261,42,81,13,2,13,137,51,3,2,36,8,1,30,2,0,3,0.31,0.406,0.525,0.931,0.422,166.7,4.12,,1988
9,±è¹ÎÈ£,88·Ô1B,4.07,101,417,356,55,115,17,0,14,174,64,6,2,55,2,6,41,4,0,4,0.323,0.413,0.489,0.901,0.411,157.3,4.07,,1988
10,ÀåÃ¤±Ù,88ÇØC,3.99,107,383,338,51,84,16,0,26,178,58,2,1,36,0,1,64,11,9,0,0.249,0.321,0.527,0.848,0.371,130.0,3.99,,1988
11,±è»óÈÆ,88M1B,3.71,87,341,305,36,108,15,4,8,155,52,2,3,32,4,5,20,7,0,0,0.354,0.422,0.508,0.931,0.425,168.8,3.71,,1988
12,À¯½Â¾È,88ºùC,3.63,103,350,297,42,78,14,2,15,141,55,3,2,46,0,5,49,10,4,3,0.263,0.358,0.475,0.833,0.371,129.3,3.63,,1988
13,ÀåÁ¾ÈÆ,88ºùSS,3.39,108,406,344,53,83,20,4,12,147,57,3,1,43,10,0,95,1,3,6,0.241,0.338,0.427,0.765,0.349,114.9,3.39,,1988
14,ÇÑ¿µÁØ,88·Ô3B,3.01,73,320,269,49,81,10,2,6,113,30,23,9,35,4,0,27,3,10,2,0.301,0.387,0.42,0.807,0.366,127.1,3.01,,1988
15,ÀåÈ¿Á¶,88»ïLF,3.01,96,334,283,41,89,12,2,4,117,35,5,5,49,2,0,27,2,0,0,0.314,0.419,0.413,0.833,0.395,146.0,3.01,,1988
16,¹ÚÈï½Ä,88MCF,2.99,80,356,316,44,95,12,4,4,127,34,14,5,28,5,0,23,1,5,2,0.301,0.365,0.402,0.767,0.354,119.1,2.99,,1988
17,ÀÌÁ¤ÈÆ,88ºùRF,2.97,96,414,366,69,113,20,3,4,151,34,18,9,37,4,1,26,4,5,2,0.309,0.377,0.413,0.789,0.364,125.1,2.97,,1988
18,ÀåÅÂ¼ö,88»ïCF,2.94,92,344,290,54,77,7,4,8,116,33,25,6,38,6,0,33,4,9,1,0.266,0.361,0.4,0.761,0.348,114.5,2.94,,1988
19,ÀÌÁ¾µÎ,88»ïRF,2.94,93,348,308,50,90,17,3,9,140,42,15,3,34,2,2,40,5,3,1,0.292,0.365,0.455,0.82,0.373,131.5,2.94,,1988
20,¼­Á¤È¯,88ÇØSS,2.91,95,336,297,45,96,11,1,0,109,29,22,8,26,4,1,27,6,8,1,0.323,0.384,0.367,0.751,0.349,115.0,2.91,,1988
21,±è±¤¸²,88OCF,2.76,101,355,311,45,97,21,4,2,132,28,8,8,30,1,2,31,3,11,2,0.312,0.372,0.424,0.797,0.357,121.2,2.76,,1988
22,±è±¤¼ö,88O2B,2.74,108,467,397,63,104,20,1,6,144,40,25,4,48,3,2,33,13,16,3,0.262,0.344,0.363,0.706,0.321,95.9,2.74,,1988
23,ÀÌ°­µ·,88ºùLF,2.48,103,418,377,57,118,26,3,4,162,56,8,6,27,0,0,50,5,8,5,0.313,0.355,0.43,0.784,0.354,118.3,2.48,,1988
24,¾ç¼¼Á¾,88OSS,2.42,87,293,273,29,80,15,4,4,115,43,6,3,13,5,0,25,9,0,2,0.293,0.335,0.421,0.756,0.349,115.5,2.42,,1988
25,ÀÌ¼±¿õ,88ÅÂSS,2.33,99,343,295,33,91,12,0,1,106,41,5,5,35,1,1,15,16,9,3,0.308,0.38,0.359,0.74,0.343,110.7,2.33,,1988
26,À±´ö±Ô,88MLF,2.24,101,405,352,31,107,13,5,1,133,43,10,5,39,2,1,36,11,10,2,0.304,0.375,0.378,0.753,0.347,113.7,2.24,,1988
27,ÃÖ°è¿µ,88·ÔCF,2.08,97,299,242,43,73,8,3,2,93,29,14,12,36,3,1,19,4,15,3,0.302,0.394,0.384,0.779,0.35,115.5,2.08,,1988
28,±è»óÈ£,88M3B,2.07,88,296,267,35,72,17,2,7,114,43,11,2,17,5,2,59,4,4,2,0.27,0.323,0.427,0.75,0.337,106.9,2.07,,1988
29,±èÀÏ±Ç,88ÅÂCF,2.01,89,343,309,35,93,11,5,3,123,34,26,14,16,3,1,8,9,11,4,0.301,0.337,0.398,0.735,0.329,101.5,2.01,,1988
30,°í¿øºÎ,88ºùRF,1.99,98,368,321,44,89,13,1,9,131,50,10,1,29,6,0,17,14,8,4,0.277,0.344,0.408,0.753,0.342,110.3,1.99,,1988
1,±è¼ºÇÑ,89ÇØ1B,5.86,118,513,414,93,116,18,0,26,212,84,32,8,84,9,11,62,7,0,6,0.28,0.407,0.512,0.92,0.421,164.4,5.86,,1989
2,ÀÌ¸¸¼ö,89»ïC,5.06,110,413,359,55,102,11,0,20,173,64,4,5,42,10,0,48,12,0,2,0.284,0.373,0.482,0.855,0.401,149.0,5.06,,1989
3,ÇÑ´ëÈ­,89ÇØ3B,4.97,106,443,358,52,100,14,2,13,157,63,15,9,81,0,5,42,7,0,4,0.279,0.409,0.439,0.847,0.399,149.7,4.97,,1989
4,À¯½Â¾È,89ºùC,4.76,115,429,370,46,104,15,0,21,182,85,0,4,50,1,8,71,6,2,6,0.281,0.363,0.492,0.855,0.389,140.2,4.76,,1989
5,±èµ¿±â,89ÅÂC,4.71,120,489,399,61,100,25,1,11,160,59,7,9,77,7,8,86,8,2,4,0.251,0.378,0.401,0.779,0.367,126.7,4.71,,1989
6,±èÀç¹Ú,89MSS,3.85,101,425,357,64,102,8,2,3,123,27,39,14,53,4,0,33,6,7,4,0.286,0.38,0.345,0.725,0.349,115.0,3.85,,1989
7,¹ÚÃ¶¿ì,89ÇØLF,3.51,112,377,340,47,108,15,1,13,164,59,0,2,27,8,3,41,12,2,0,0.318,0.381,0.482,0.864,0.403,152.0,3.51,,1989
8,ÀåÁ¾ÈÆ,89ºùSS,3.4,112,301,256,49,65,11,0,18,130,46,6,4,33,7,0,55,3,2,3,0.254,0.351,0.508,0.859,0.394,143.9,3.4,,1989
9,ÇÑ¿µÁØ,89·Ô3B,3.38,120,516,440,53,111,23,4,10,172,59,15,9,58,5,3,50,12,7,6,0.252,0.342,0.391,0.733,0.342,109.6,3.38,,1989
10,¼ÛÀÏ¼·,89ºùCF,3.36,93,245,209,26,69,20,0,7,110,27,3,0,26,7,3,30,7,0,3,0.33,0.416,0.526,0.943,0.435,171.1,3.36,,1989
11,°í¿øºÎ,89ºùRF,3.35,109,395,342,51,112,16,2,6,150,45,5,8,45,2,2,32,11,2,4,0.327,0.405,0.439,0.843,0.398,146.2,3.35,,1989
12,°­±â¿õ,89»ï2B,3.14,95,385,351,48,113,12,4,1,136,33,26,6,17,3,0,34,2,6,8,0.322,0.351,0.387,0.738,0.345,111.5,3.14,,1989
13,±è¿ë±¹,89»ï3B,3.09,98,373,333,53,96,15,1,9,140,44,8,2,30,3,0,27,12,2,5,0.288,0.348,0.42,0.768,0.361,122.1,3.09,,1989
14,À±´ö±Ô,89MCF,3.07,102,372,317,41,95,12,5,1,120,34,12,10,42,4,0,44,5,6,3,0.3,0.385,0.379,0.764,0.363,124.8,3.07,,1989
15,ÀåÅÂ¼ö,89»ïCF,2.99,106,344,290,39,88,10,1,5,115,34,24,9,36,3,1,32,1,9,6,0.303,0.379,0.397,0.776,0.36,121.8,2.99,,1989
16,ÀÌ°­µ·,89ºùLF,2.96,120,507,464,67,137,24,4,9,196,66,12,10,35,0,3,73,5,4,4,0.295,0.342,0.422,0.764,0.356,118.5,2.96,,1989
17,±è»óÈ£,89MRF,2.83,109,425,362,51,93,9,4,13,149,56,21,10,50,5,2,87,3,3,5,0.257,0.351,0.412,0.762,0.357,120.6,2.83,,1989
18,±èÇü¼®,89ORF,2.79,117,468,423,44,121,22,2,10,177,57,5,4,41,1,7,54,8,2,1,0.286,0.35,0.418,0.768,0.358,120.8,2.79,,1989
19,±è¹ÎÈ£,89·Ô1B,2.71,115,429,357,40,104,24,2,4,144,49,3,3,66,1,13,42,5,3,2,0.291,0.401,0.403,0.805,0.374,131.3,2.71,,1989
20,ÀåÈ¿Á¶,89·ÔRF,2.63,94,393,333,40,101,8,3,1,118,31,12,15,56,3,0,30,2,0,1,0.303,0.407,0.354,0.762,0.375,131.4,2.63,,1989
21,±è»óÈÆ,89M3B,2.58,103,421,371,36,104,15,2,5,138,57,11,5,38,2,4,18,13,3,7,0.28,0.345,0.372,0.717,0.337,106.1,2.58,,1989
22,½Å°æ½Ä,89O1B,2.57,118,479,422,55,116,25,6,8,177,57,25,8,32,11,5,36,5,8,5,0.275,0.338,0.419,0.758,0.347,113.2,2.57,,1989
23,ÀÌÁ¾µÎ,89»ïLF,2.54,110,382,333,63,91,15,3,10,142,52,26,12,33,5,0,49,5,6,5,0.273,0.343,0.426,0.77,0.357,119.3,2.54,,1989
24,±è¿ëÃ¶,89»ï1B,2.53,103,382,342,60,104,18,0,11,155,64,3,5,32,2,0,38,10,1,5,0.304,0.362,0.453,0.815,0.382,136.3,2.53,,1989
25,ÀåÃ¤±Ù,89ÇØC,2.51,102,357,316,27,77,15,0,10,122,37,0,1,35,3,2,53,13,2,1,0.244,0.324,0.386,0.71,0.335,105.0,2.51,,1989
26,³ëÂù¿±,89MLF,2.5,102,422,352,54,101,18,6,1,134,56,13,10,53,1,0,14,14,8,8,0.287,0.374,0.381,0.755,0.355,118.9,2.5,,1989
27,ÀÌ¼øÃ¶,89ÇØCF,2.49,101,434,373,58,90,13,1,12,141,46,24,15,46,6,2,52,10,7,2,0.241,0.333,0.378,0.711,0.334,104.1,2.49,,1989
28,¹éÀÎÈ£,89ÇØSS,2.41,103,437,379,58,101,17,1,3,129,26,11,17,45,5,0,25,8,7,1,0.266,0.351,0.34,0.692,0.332,103.2,2.41,,1989
29,ÀÌÁ¤ÈÆ,89ºùRF,2.25,51,219,198,30,64,20,2,1,91,23,14,1,14,3,0,12,0,1,3,0.323,0.372,0.46,0.831,0.388,140.0,2.25,,1989
30,¿ø¿ø±Ù,89ÅÂSS,2.23,109,257,228,24,70,10,2,3,93,38,5,5,21,2,1,30,6,5,1,0.307,0.369,0.408,0.777,0.363,124.1,2.23,,1989
1,ÇÑ´ëÈ­,90ÇØ3B,6.96,119,500,418,73,140,20,3,15,211,86,10,4,76,0,7,53,10,0,6,0.335,0.432,0.505,0.937,0.432,168.6,6.96,,1990
2,ÀåÁ¾ÈÆ,90ºùSS,6.94,120,496,411,73,119,15,3,28,224,91,8,7,69,11,5,84,3,0,5,0.29,0.401,0.545,0.946,0.429,165.1,6.94,,1990
3,ÀÌ¸¸¼ö,90»ïC,5.63,110,421,359,50,103,13,0,26,194,57,3,4,54,5,6,37,16,0,2,0.287,0.386,0.54,0.926,0.419,157.7,5.63,,1990
4,·ùÁßÀÏ,90»ïSS,5.44,120,503,425,70,132,22,5,6,182,45,23,8,50,10,0,55,6,15,2,0.311,0.394,0.428,0.823,0.379,131.2,5.44,,1990
5,ÀÌ°­µ·,90ºùLF,5.39,117,496,436,81,146,20,6,16,226,84,12,10,45,6,2,78,10,3,6,0.335,0.4,0.518,0.918,0.42,159.0,5.39,,1990
6,±èµ¿¼ö,90LC,4.89,110,416,352,46,102,20,1,13,163,62,15,10,45,10,1,40,6,2,7,0.29,0.379,0.463,0.842,0.39,140.6,4.89,,1990
7,±è»ó±¹,90ºùC,4.17,116,372,314,39,90,9,3,10,135,46,10,4,47,4,0,37,12,4,3,0.287,0.383,0.43,0.813,0.38,132.5,4.17,,1990
8,¹éÀÎÈ£,90ÇØ2B,3.94,94,402,337,51,100,13,3,8,143,34,9,8,53,7,4,50,7,5,0,0.297,0.403,0.424,0.827,0.387,138.1,3.94,,1990
9,±èµ¿±â,90ÅÂC,3.86,114,394,336,52,84,20,1,14,148,46,5,3,48,5,3,58,6,5,0,0.25,0.352,0.44,0.793,0.365,123.0,3.86,,1990
10,°­¼®Ãµ,90ºù3B,3.78,113,429,356,67,100,24,1,12,162,49,16,6,47,4,0,72,3,17,5,0.281,0.367,0.455,0.822,0.368,124.3,3.78,,1990
11,¹Ú½ÂÈ£,90»ïDH,3.68,110,456,398,64,122,17,1,20,201,75,3,1,50,3,4,45,12,0,5,0.307,0.384,0.505,0.889,0.408,150.4,3.68,,1990
12,À±´ö±Ô,90L3B,3.65,116,426,369,68,103,16,8,6,153,44,6,5,49,3,1,28,4,3,2,0.279,0.366,0.415,0.781,0.366,124.2,3.65,,1990
13,±è»óÈ£,90ORF,3.42,114,466,400,61,110,18,1,14,172,52,12,6,54,7,2,68,9,4,1,0.275,0.37,0.43,0.8,0.374,129.5,3.42,,1990
14,°­±â¿õ,90»ï2B,3.38,108,438,391,59,106,16,3,15,173,58,24,8,33,3,1,34,12,5,4,0.271,0.33,0.442,0.772,0.352,113.7,3.38,,1990
15,ÀÌÈ£¼º,90ÇØLF,3.38,99,372,313,57,95,16,6,7,144,48,16,10,41,8,1,49,4,7,3,0.304,0.395,0.46,0.855,0.392,141.8,3.38,,1990
16,±èÇü¼®,90OCF,3.27,120,483,429,49,120,18,3,12,180,61,5,5,43,1,5,53,9,2,8,0.28,0.341,0.42,0.761,0.35,113.1,3.27,,1990
17,±è»óÈÆ,90L1B,3.21,100,409,360,52,116,23,3,6,163,58,7,4,36,6,3,32,14,1,6,0.322,0.387,0.453,0.84,0.39,141.0,3.21,,1990
18,ÇÑ¿µÁØ,90·ÔSS,3.18,113,444,352,52,80,17,1,9,126,43,11,7,68,12,2,45,10,8,4,0.227,0.367,0.358,0.725,0.344,108.8,3.18,,1990
19,ÀÌÁ¤ÈÆ,90ºùRF,3.13,114,459,402,71,117,20,3,7,164,52,22,6,45,2,2,26,5,4,6,0.291,0.36,0.408,0.768,0.358,117.9,3.13,,1990
20,±è¹ÎÈ£,90·Ô1B,3.13,79,328,288,44,90,19,5,8,143,45,7,2,34,4,5,33,6,1,1,0.313,0.391,0.497,0.888,0.407,150.4,3.13,,1990
21,À¯½Â¾È,90ºùC,3.1,110,341,293,29,75,12,0,14,129,54,3,0,36,4,4,64,2,1,7,0.256,0.338,0.44,0.779,0.356,116.1,3.1,,1990
22,³ëÂù¿±,90LLF,3.09,105,380,327,47,109,11,6,5,147,51,8,12,41,2,6,25,9,3,7,0.333,0.403,0.45,0.853,0.392,142.0,3.09,,1990
23,ÀÌ¼øÃ¶,90ÇØCF,3.07,114,455,381,65,95,20,0,12,151,51,26,16,56,8,2,49,16,8,2,0.249,0.356,0.396,0.752,0.351,113.3,3.07,,1990
24,±èÀÀ±¹,90·ÔLF,3.06,108,433,377,53,110,20,4,7,159,47,21,12,47,2,1,41,9,1,6,0.292,0.368,0.422,0.79,0.37,126.0,3.06,,1990
25,ÀÌÁ¾µÎ,90»ïRF,2.86,97,323,275,51,81,11,2,9,123,38,17,7,40,3,1,30,5,2,3,0.295,0.386,0.447,0.834,0.388,137.7,2.86,,1990
26,±è°æ±â,90ÅÂ1B,2.84,120,476,414,50,118,29,1,10,179,68,7,5,50,6,4,37,17,0,6,0.285,0.366,0.432,0.798,0.372,128.0,2.84,,1990
27,ÀÌ±¤Àº,90LLF,2.84,102,393,336,55,96,13,2,8,137,44,11,2,43,8,6,30,8,1,5,0.286,0.375,0.408,0.783,0.366,123.7,2.84,,1990
28,¹ÚÃ¶¿ì,90ÇØLF,2.72,114,419,363,40,103,21,1,10,156,45,0,1,45,8,10,46,12,1,2,0.284,0.373,0.43,0.803,0.37,126.7,2.72,,1990
29,±è¼ºÇÑ,90ÇØ1B,2.71,89,385,331,61,93,17,2,11,147,49,14,4,39,6,0,53,4,3,6,0.281,0.361,0.444,0.805,0.373,128.5,2.71,,1990
30,±èÁ¾¸ð,90ÇØRF,2.34,117,442,381,41,109,20,1,10,161,64,0,2,43,3,4,45,11,11,4,0.286,0.36,0.423,0.782,0.356,116.9,2.34,,1990
1,ÀåÁ¾ÈÆ,91ºù1B,8.79,126,558,464,104,160,24,4,35,297,114,21,11,76,15,8,88,12,0,3,0.345,0.45,0.64,1.09,0.482,204.2,8.79,,1991
2,ÀÌÁ¤ÈÆ,91ºùRF,6.36,111,433,379,81,132,21,12,17,228,55,18,6,43,4,2,33,6,4,3,0.348,0.417,0.602,1.019,0.451,183.2,6.36,,1991
3,ÀÌ¸¸¼ö,91»ïC,6.08,118,446,378,51,120,18,0,17,189,74,6,2,56,8,12,27,7,0,3,0.317,0.414,0.5,0.914,0.411,154.6,6.08,,1991
4,ÀÌÈ£¼º,91ÇØLF,5.71,121,520,434,98,125,12,7,21,214,84,25,7,67,12,1,65,6,2,5,0.288,0.394,0.493,0.887,0.404,150.7,5.71,,1991
5,ÀÌ¼øÃ¶,91ÇØCF,5.55,115,513,434,83,120,21,3,17,198,50,56,18,55,14,1,66,3,6,4,0.277,0.373,0.456,0.829,0.378,133.2,5.55,,1991
6,ÇÑ´ëÈ­,91ÇØ3B,5.15,92,398,336,62,101,17,3,22,190,73,8,8,53,2,3,45,10,0,7,0.301,0.392,0.565,0.957,0.425,165.1,5.15,,1991
7,±è¼ºÇÑ,91ÇØ1B,5.13,112,482,411,69,121,25,5,23,225,83,16,9,51,15,2,70,7,0,5,0.294,0.388,0.547,0.935,0.42,161.8,5.13,,1991
8,ÀåÈ¿Á¶,91·ÔRF,5.06,122,424,346,56,120,17,10,4,169,54,11,7,70,0,6,31,4,2,4,0.347,0.452,0.488,0.941,0.427,165.2,5.06,,1991
9,³ëÂù¿±,91LCF,4.42,115,476,417,45,132,22,8,3,179,58,12,11,48,4,5,28,5,2,5,0.317,0.388,0.429,0.817,0.376,133.0,4.42,,1991
10,±è¹ÎÈ£,91·Ô1B,4.32,111,419,363,66,110,23,5,20,203,68,1,1,51,1,6,38,7,1,3,0.303,0.388,0.559,0.947,0.42,160.2,4.32,,1991
11,±èÀÀ±¹,91·ÔLF,4.2,121,504,436,77,131,17,8,9,191,51,25,9,61,3,13,47,5,2,2,0.3,0.388,0.438,0.827,0.375,130.5,4.2,,1991
12,¹ÚÁ¤ÅÂ,91·Ô2B,4.2,122,528,463,69,132,29,6,14,215,74,3,5,43,5,0,36,17,8,9,0.285,0.346,0.464,0.811,0.363,122.8,4.2,,1991
13,±è±âÅÂ,91½Ö1B,3.75,124,508,427,65,112,15,0,27,208,92,7,4,72,4,5,93,9,0,5,0.262,0.37,0.487,0.857,0.387,138.4,3.75,,1991
14,±è±¤¸²,91OCF,3.63,108,413,361,49,111,19,6,3,151,36,20,6,37,1,1,46,4,12,2,0.307,0.372,0.418,0.79,0.357,119.8,3.63,,1991
15,°­¼®Ãµ,91ºù3B,3.61,126,523,465,72,128,21,4,11,190,57,17,10,40,9,1,53,11,6,3,0.275,0.342,0.409,0.751,0.345,111.0,3.61,,1991
